distance,intensity,jnd,userid
150,30,3.192735054,6_70
150,20,3.22409603,125_121
100,30,3.253767376,105_135
150,40,3.279000847,36_41
200,30,3.284755325,126_82
100,30,3.303742629,31_105
200,40,3.361608881,126_82
150,20,3.414157837,105_135
50,50,3.418832994,36_41
150,50,3.433983705,71_124
200,40,3.478158289,125_121
150,50,3.51898208,21_44
150,40,3.526251381,82_51
100,40,3.573180963,105_135
200,40,3.617162376,82_51
150,50,3.689462835,6_70
200,20,3.723141705,150_110
0,50,3.742064761,31_105
100,40,3.758380004,6_70
200,50,3.782865927,105_135
200,20,3.797226769,6_70
150,30,3.831377587,126_82
200,40,3.880479675,150_110
150,50,3.881660037,150_110
100,40,3.93458525,126_82
150,50,4.055599453,105_135
150,40,4.114991766,126_82
100,50,4.172861392,36_41
200,50,4.280599404,6_70
200,20,4.497292653,105_135
100,20,4.508074506,6_70
200,50,4.587390656,21_44
200,30,4.589129916,6_70
150,30,4.60578101,105_135
200,50,4.688861102,82_51
200,50,4.736914436,36_41
150,50,4.757667897,36_41
100,50,5.121572536,150_110
0,50,5.123458099,6_70
100,50,5.294341301,105_135
200,30,5.425012799,105_135
100,50,5.462390448,6_70
50,20,5.604642445,6_70
200,50,5.750280644,126_82
200,50,5.842204833,150_110
100,30,5.851044287,6_70
200,40,6.685746157,6_70
0,20,7.13662883,6_70
50,40,7.557075892,6_70
0,40,25.35413596,6_70
