distance,intensity,jnd,userid
261,200,5.327576719,34_39
177,250,5.388981691,18_66
177,50,5.391064692,19_42
261,100,5.396395798,61_52
177,50,5.397214629,130_90
261,200,5.418557309,74_102
261,100,5.424850053,80_74
261,100,5.424850053,148_108
93,250,5.498283334,100_119
345,200,5.505153386,191_33
345,200,5.516863151,74_102
93,150,5.525522788,102_133
93,50,5.545184005,102_133
261,250,5.572486911,59_69
345,150,5.575811451,3_67
345,150,5.629518204,34_39
345,100,5.631515258,120_73
261,150,5.634129776,120_73
177,100,5.639670762,18_66
345,250,5.681837886,62_116
261,150,5.696825481,148_108
345,200,5.72071913,83_55
261,100,5.729838073,34_39
345,100,5.751826317,19_42
345,100,5.787038134,34_39
261,50,5.831998483,18_66
177,100,5.887946647,191_33
261,250,6.005701676,130_90
177,100,6.118926967,62_116
177,150,6.189687086,18_66
345,250,6.190661473,120_73
261,200,6.240059121,130_90
177,100,6.317095025,148_108
261,200,6.323713084,3_67
345,200,6.333695907,59_69
345,50,6.417646395,83_55
177,250,6.430915906,120_73
177,200,6.478860991,100_119
177,200,6.500591541,120_73
345,200,6.568705752,120_73
261,150,6.569204439,59_69
345,250,6.585545066,59_69
177,250,6.597986902,3_67
177,150,6.801659592,100_119
177,250,6.840541405,102_133
345,100,6.90316788,3_67
261,200,6.924642453,102_133
261,250,6.963799444,18_66
261,250,6.992325257,102_133
261,200,7.017557274,80_74
261,100,7.025697337,120_73
261,100,7.027621061,18_66
93,100,7.090764757,100_119
345,150,7.108126496,120_73
261,150,7.127908904,80_74
345,100,7.208560211,59_69
261,200,7.283948147,120_73
345,250,7.458507607,148_108
261,250,7.469973776,100_119
345,50,7.48427873,34_39
345,200,7.551644903,19_42
261,200,7.595457993,148_108
93,150,7.615545628,120_73
177,200,7.649847307,18_66
345,100,7.827221616,80_74
177,100,7.885191383,120_73
345,100,8.115838462,130_90
261,250,8.11632995,120_73
261,150,8.11632995,3_67
177,250,8.169873753,100_119
177,150,8.170080516,120_73
345,200,8.174181385,80_74
345,200,8.218478288,18_66
345,150,8.287668325,148_108
261,100,8.556566984,130_90
345,250,8.61567145,130_90
345,150,8.864242209,59_69
261,250,8.978133784,148_108
177,50,9.269411806,100_119
177,100,9.273729039,130_90
345,150,9.3106441,130_90
345,50,9.553658966,3_67
261,200,9.617227849,62_116
345,100,9.638400077,83_55
345,250,9.712684821,18_66
345,200,9.745476808,62_116
345,50,9.752648737,18_66
177,150,9.901370833,102_133
345,100,10.28477132,102_133
345,250,10.33785725,3_67
345,50,10.37025784,102_133
345,100,10.46944045,18_66
345,50,10.53589631,100_119
345,200,10.86137986,97_60
345,150,11.03121601,102_133
345,250,11.13895544,102_133
261,150,11.15627329,18_66
177,100,11.68079789,102_133
345,100,11.77674201,148_108
345,150,12.04486396,18_66
261,50,12.27714372,3_67
345,200,12.32117686,148_108
261,100,12.77966075,102_133
93,100,13.38223105,3_67
261,200,13.57447966,18_66
345,100,14.32286404,100_119
177,200,14.36130362,102_133
261,50,14.59419587,100_119
261,150,15.85953379,130_90
261,100,16.25548199,100_119
261,50,18.2791125,102_133
177,150,19.18592501,3_67
345,150,19.73583343,100_119
261,250,20.31963253,3_67
345,200,20.77525126,102_133
345,200,24.27541816,100_119
345,250,24.98806124,100_119
261,200,37.38610631,100_119
261,150,40.35471086,102_133
345,200,45.01226254,130_90
177,50,46.91065694,3_67
261,150,79.33744811,100_119
